"name","long","lat","year","date"
"Danaus plexippus","-122.496187","37.766875","2017","2017-03-12"
"Danaus plexippus","-117.200258","32.845516","2017","2017-03-24"
"Danaus plexippus","-121.122412","36.507195","2017","2017-03-11"
"Danaus plexippus","-118.298389","34.012209","2017","2017-03-29"
"Danaus plexippus","-96.965383","33.063113","2017","2017-04-05"
"Danaus plexippus","-98.176315","30.479389","2017","2017-04-01"
"Danaus plexippus","-96.965854","33.063352","2017","2017-04-01"
"Danaus plexippus","-96.991446","33.063367","2017","2017-04-08"
"Danaus plexippus","-94.287329","35.331887","2017","2017-04-09"
"Danaus plexippus","-97.399214","27.7922","2017","2017-04-02"
"Danaus plexippus","-96.74722","32.890868","2017","2017-04-06"
"Danaus plexippus","-96.965868","33.063387","2017","2017-04-01"
"Danaus plexippus","-97.17263","32.710232","2017","2017-04-03"
"Danaus plexippus","-97.414497","30.128786","2017","2017-04-02"
"Danaus plexippus","-90.094205","30.004747","2017","2017-04-09"
"Danaus plexippus","-96.965573","33.063233","2017","2017-04-05"
"Danaus plexippus","-91.038989","30.426337","2017","2017-04-11"
"Danaus plexippus","-97.703953","30.277951","2017","2017-04-13"
"Danaus plexippus","-97.220756","27.626336","2017","2017-04-03"
"Danaus plexippus","-96.884515","32.913307","2017","2017-04-06"
"Danaus plexippus","-95.419722","29.0425","2017","2017-04-06"
"Danaus plexippus","-97.614834","35.560998","2017","2017-04-01"
"Danaus plexippus","-96.904265","32.728295","2017","2017-04-05"
"Danaus plexippus","-97.280767","32.985932","2017","2017-04-05"
"Danaus plexippus","-118.288153","34.017752","2017","2017-04-10"
"Danaus plexippus","-97.646592","30.231484","2017","2017-04-06"
"Danaus plexippus","-97.105508","33.047812","2017","2017-04-06"
"Danaus plexippus","-96.642418","33.621912","2017","2017-04-08"
"Danaus plexippus","-97.454167","30.139052","2017","2017-04-02"
"Danaus plexippus","-97.82885","30.241633","2017","2017-04-02"
"Danaus plexippus","-98.205652","33.814337","2017","2017-04-03"
"Danaus plexippus","-80.378248","25.754587","2017","2017-04-05"
"Danaus plexippus","-98.197774","29.860262","2017","2017-04-09"
"Danaus plexippus","-117.852524","34.133436","2017","2017-04-08"
"Danaus plexippus","-106.868753","33.801042","2017","2017-04-03"
"Danaus plexippus","-96.988683","33.062442","2017","2017-04-01"
"Danaus plexippus","-96.98862","33.062605","2017","2017-04-01"
"Danaus plexippus","-118.377967","34.015353","2017","2017-04-08"
"Danaus plexippus","-97.453836","30.139148","2017","2017-04-01"
"Danaus plexippus","-122.475312","37.836258","2017","2017-04-03"
"Danaus plexippus","-95.597363","29.864988","2017","2017-04-11"
"Danaus plexippus","-97.221633","32.665156","2017","2017-04-06"
"Danaus plexippus","-118.287318","34.142677","2017","2017-04-07"
